S100A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLPI,9.848312497247264e-16,-2.6476630529682512e-15,1.0,-2.4819409579516356e-15,-6.926278200739019e-15,-3.309560618330191e-15,-4.805291097012829e-15,5.912089917571167e-15,-5.8222042091113015e-15,7.507430826572328e-15,5.007359205891317e-15,5.324741002415031e-16,1.486674359286017e-14,-4.668055797341368e-15,3.445363795268926e-15,-4.655570156381291e-15,-0.15671811017059464,0.03369778767309095,-3.642844538301911e-18,0.04674440113814411,0.01920749994544629,-0.031490657069212835,0.06360739377715041,0.21678339629779422,-0.10947344091560889,-0.1930960334245721,0.08303487145940895,-0.02064220959830522,0.45157869916130916,-0.6176091058666909,0.4940139108313054,-0.18360786109613486,-1.3243712091698823e-15,1.0,-2.9388033203742713e-15,-1.368997524240201e-15,-3.130018501580006e-15,-3.8384678073091385e-16,1.5219154223890677e-15,-4.463671425844184e-15,3.947090916364708e-15,-4.617070749199519e-15,7.333055635784904e-15,-2.224820194979083e-15,-1.177836627968857e-15,6.251546261528639e-16,1.5572276797362052e-15,-4.021570783463812e-15,0.1292383148070586,6.560533287539079e-17,0.015895120748825042,0.10521307419295495,-0.12733921853001015,0.024176231800087558,0.029240646556948524,0.20809929645222022,0.08168003364530803,-0.1599606224985484,-0.4467479796060896,0.19877862169554075,-0.4539751806751683,-0.12287811167759988,0.5679734773089279,-0.30963336462596147
TFF2,-3.1059742196691473e-15,-2.730557861127786e-15,1.0,2.3671584165411544e-15,8.871766483559323e-15,3.726493882797743e-15,-6.0786854779191894e-15,-1.574833590210473e-15,8.975364995242127e-15,5.75280021714063e-15,5.50536805157602e-15,-6.1744730386365626e-15,-7.375061426461247e-15,-1.4215940664968802e-14,2.1186567681248703e-15,3.0155088222204093e-15,-0.36533908152765165,0.17854931820950534,-8.316129341791989e-18,-0.015768997086906607,-0.0915572239922007,-0.1354294499900645,-0.034590105934847425,0.3110383397532958,0.0996261749322751,-0.528692981820832,0.47266753752217494,-0.16470251906642414,-0.10111841981803481,-0.09476881969962121,0.3868326169646458,0.030082347941483702,-1.0480764341596745e-15,1.0,-3.584750580543814e-15,5.410634298610427e-16,1.8188419574184896e-15,7.625097514770286e-17,1.8139665232338638e-16,-1.788314912956336e-15,-2.1170367331208067e-15,-2.4075944677464833e-15,1.4852708137082212e-15,-2.7363871894169876e-15,-2.3584848310177567e-15,4.470719779838754e-15,5.404395729675839e-15,3.339151700307771e-15,0.2254349167169969,1.146283167210787e-16,-0.11392541625293638,0.004969864230400414,0.1579667578616589,-0.11147311787523076,0.04052570757674927,0.6331856416459379,0.29691340705330177,-0.2048683738736334,0.0717957871127432,-0.277116177379418,-0.4255834004274759,0.20037736698890807,0.23956744361184026,0.07407930394465607
IL4,-3.8977645002347033e-17,1.732848144352202e-17,1.0,-2.1698583587207994e-17,-7.153438298018001e-16,9.22966671890203e-16,-2.2156511698806708e-15,3.532298167591617e-15,0.0,-3.110252133019941e-15,-9.850973406159612e-15,-7.767744530397825e-16,1.4215427932968407e-15,8.404121689453875e-15,-1.4001291662930715e-15,1.8241968869885477e-15,-0.14670102345625086,0.07153226756574822,3.906088566636797e-18,-0.007630399947920241,0.15329409274769046,-0.010460139075681616,-0.04057167411166974,0.10004317239251252,0.18339955812067982,0.1518985246616655,-0.8605671997720988,0.002877731616892234,0.29234432434775653,-0.0891015837977656,-0.21742479318797142,-0.008363472034598925,8.181304127846142e-16,1.0,-2.170743256749878e-16,7.36789965753642e-16,1.619003319999909e-15,1.0031664023721477e-15,6.313425273596291e-16,8.4025971661525e-16,-2.016673826693837e-15,1.4065621932220557e-15,-2.982354979022359e-16,1.4727629492504748e-15,-1.172656523608314e-16,-2.0170539126166863e-15,-7.124903586102492e-16,1.1949794203673051e-15,0.17644772992939325,9.044714204868817e-17,-0.06312616195274082,0.08492633426537641,0.15356015694444813,-0.1534083221263271,0.1361564688731644,0.052386944312848065,-0.14351505604745654,0.34479133531384454,0.4138677678698137,0.5898167722190873,0.23456376990929073,-0.03939102753338332,0.25158511691173896,-0.3328004153111585
CKS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMTOR5,2.5873710879134227e-14,-8.799187885247639e-15,1.0,-2.481353020803263e-14,-2.2725522873229967e-14,-8.371539935400971e-14,-7.725652543280549e-14,-2.603343357624037e-14,-1.552500853127045e-13,-1.2261367429824983e-13,8.033647853944226e-14,-9.422255640610512e-15,-9.019561988845521e-14,-8.333987680503448e-14,5.421666459163972e-14,-9.371632172853128e-14,-0.20069911082272876,0.08535407223703362,-5.242777958883665e-18,0.09106247255511382,0.08049085214439801,-0.0508433421001516,-0.0529158194476202,-0.04598874097385973,-0.012893970434052484,-0.05690009788386035,-0.1445588997199884,-0.01856294561646567,-0.1274766518149919,-0.21191339513610238,0.8770564297971708,0.274102180773998,-4.1513973249620685e-15,1.0,-6.60610091805128e-15,9.787027144087526e-15,4.266286607032234e-16,2.6239803240360234e-15,-1.0071375450146798e-15,-7.711809250924151e-17,1.7497953750069177e-15,-3.559662464557912e-15,-6.5035203966649686e-15,-1.7517841279991753e-15,1.307644939586927e-15,-1.5709003879419949e-15,-1.5890150153675597e-15,-5.2953124170336345e-15,0.2124804016759051,1.0801595631213967e-16,-0.03206175021765648,0.20590068105212297,0.053561078973460664,-0.1270727959659074,0.10806942189665425,0.4626541591329133,0.04858345283554669,0.1339104014717316,0.22077725429449416,0.3760953170859501,-0.21908534785988817,-0.33175435125962943,0.3183903472171369,-0.4435882026883355
TMSB4X,-2.3035720779279173e-15,-1.0717085784238359e-15,1.0,7.617653603219175e-17,-2.963505195781438e-16,-2.136889070947626e-15,2.033330766223927e-15,4.867553283556086e-15,-3.7843803225416116e-16,6.1055822980357116e-15,1.8415550992593424e-14,3.9638450036642976e-15,3.0543447439486553e-15,-5.74811243063788e-15,2.711117427265855e-14,-2.593781734874787e-15,-0.09435027898097074,0.02020997498939736,-1.3323388932057872e-18,-0.022461953398564206,0.045348047956295046,-0.034890980682636595,-0.016913936859378958,0.05952892048992173,-0.03846059520793544,-0.14135872323762322,-0.08461553014398758,-0.3209382619277951,-0.5068519476769605,-0.6711148285636788,-0.3796478670607818,0.00568048587302563,2.4302412634602855e-15,1.0,-3.0468456273973252e-15,2.60235720061786e-15,-1.0947492802096077e-15,-5.374924703228225e-16,5.993734910647342e-16,-3.0013848797721974e-16,2.8128621227644243e-15,-2.1646827511926833e-16,-7.190701398777841e-17,-3.7284993260094343e-16,5.212964616789437e-16,4.168527170991659e-15,4.260323645807479e-15,-3.389638784267721e-16,0.09771547097863963,4.969178911517916e-17,0.0023703892454023435,-0.15294526698791003,0.0056798689621794145,-0.12976109573212594,0.21679409032292266,0.07841720413494574,0.15818733337854188,-0.5710989722009333,0.3526235627066463,0.12232714825542773,0.1424299261576283,-0.5360433656252016,-0.23375355660956032,0.2104295590491986
COMMD1,1.5130651650011426e-16,-3.929119910421161e-15,1.0,-4.756865299873966e-15,-1.381087797542635e-14,1.344648900264982e-14,-1.872321670425348e-14,-6.8345073147267074e-15,-5.717109793265527e-15,-1.642007716440581e-14,-1.9707626118659976e-15,-1.2770523159762598e-15,-1.994124406422112e-14,9.760241175352065e-15,1.0011115967330685e-14,-7.219461821344372e-15,-0.45937783308991165,0.2733510546068275,-1.0158366278514046e-17,0.20612109673355536,0.0694464594866007,-0.21161132424439863,-0.1746815366101123,0.04503773925635935,-0.19866995759793776,0.1516792025409046,0.4009506816841937,-0.09966423947009156,-0.12217759402893118,0.09084836466520704,-0.5573920621542067,0.15027859898761567,3.5193823889604515e-16,1.0,-7.358535996155138e-16,-1.710714062380049e-15,3.4563287388324475e-16,2.817814583725186e-15,7.022628010451719e-16,2.832267202725027e-16,4.656784302254083e-16,1.5736435294698508e-15,0.0,-2.6062305629270893e-15,-1.3636741217505825e-15,3.809808080917267e-15,4.611061350781549e-16,-7.10809853327505e-16,0.3207425426858052,1.6308956638167881e-16,-0.15872576990819154,0.22066402050377973,0.0021384490950829512,0.03243145976151432,0.14771614835751393,-0.18556450686680237,0.2799029539373013,0.08766445578808742,-0.2171564903444924,-0.1075570108890867,0.6459667338657756,0.09371054589238499,-0.19199343841065208,-0.39781249566286575
GAS5,1.8093556368918394e-15,-2.213731553280727e-15,1.0,-1.1940187023826667e-15,-2.640691311328711e-15,-2.865130947510592e-15,1.992630231592666e-16,4.6791121312136625e-15,-4.737774296616817e-15,4.719717031758056e-15,-2.1994699314673553e-15,-1.0518822467237346e-14,-1.3270303633069012e-14,1.989492357486172e-14,-1.0536688079931666e-14,1.0703625517546296e-15,-0.1842776122342687,0.037588673345773045,-4.740974202895821e-18,0.11193904179045246,0.03576350289539492,0.11016659872495972,-0.0906926699788114,0.022644275015943433,-0.19888278183412408,0.19500413285138574,-0.21201020094150763,0.5366854303611128,-0.7002535561333365,0.08548962984091693,-0.003140850843296954,0.14734632387482713,4.632244086494806e-17,1.0,1.0791761182415172e-15,-4.842282728748537e-16,1.8502431554542073e-16,-1.1461950614240606e-15,-5.92383334470881e-16,-1.1854457063108485e-15,-9.286876377631176e-16,2.5481655858369504e-15,-2.4057184724429565e-15,-6.270027106821869e-16,0.0,4.6003121624699e-16,1.0856025931947349e-15,-4.095131198609997e-16,0.22594444910017122,1.1485298414413314e-16,0.01084054112950135,0.3287008711467457,-0.2438110084641944,0.2881258013314207,-0.1697068517366763,0.16210568551207352,-0.03023922182041426,0.18119128910280774,-0.04799530274244297,0.18899900392504665,0.5354726299332643,-0.187787124933956,-0.4592965411218251,0.19629378776511414
